season,event_code,league,zone_id,zone_name,group_name,group_order,college_name,college_logo,team_name,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage,metrics_json,rank
2024,2024RMUC,RMUC,498,东部赛区,B组,8,华东理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/bbd1ecfe-4c6a-4b6d-927f-c13e4782d613,起源,2/0/1,2,-3,356,0,4244,"{""对手分"": -3, ""局均全队总伤害血量"": 4244, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 356, ""积分"": 2, ""胜/平/负"": ""2/0/1""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,9,中国矿业大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525667804487-logo_blue_800x800.png,CUBOT,1/0/2,1,5,-1505,4,3915,"{""对手分"": 5, ""局均全队总伤害血量"": 3915, ""局均总前哨站净胜血量"": 4, ""局均总基地净胜血量"": -1505, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,10,浙江纺织服装职业技术学院,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525676616592-logo_red_800x800.png,RoboFuture,1/0/2,1,2,-295,-164,4629,"{""对手分"": 2, ""局均全队总伤害血量"": 4629, ""局均总前哨站净胜血量"": -164, ""局均总基地净胜血量"": -295, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,11,西北工业大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525674854703-logo_blue_800x800.png,WMJ,1/0/2,1,-1,-630,-38,3721,"{""对手分"": -1, ""局均全队总伤害血量"": 3721, ""局均总前哨站净胜血量"": -38, ""局均总基地净胜血量"": -630, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,12,中北大学,https://rm-static.djicdn.com/games-backend/545f6aae-fcc7-4094-85e0-ea6f30596d73,606,1/0/2,1,-3,-309,108,3560,"{""对手分"": -3, ""局均全队总伤害血量"": 3560, ""局均总前哨站净胜血量"": 108, ""局均总基地净胜血量"": -309, ""积分"": 1, ""胜/平/负"": ""1/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,13,陆军勤务学院,https://rm-static.djicdn.com/games-backend/7c7e25cd-42c7-4419-bbbb-68743f068f6b,陆擎,0/0/2,0,4,-2451,-263,1558,"{""对手分"": 4, ""局均全队总伤害血量"": 1558, ""局均总前哨站净胜血量"": -263, ""局均总基地净胜血量"": -2451, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,14,东华大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/951ba744-0a29-48c8-8ddd-cfd2f1ab959f,DIODE,0/0/2,0,2,-1749,-919,1214,"{""对手分"": 2, ""局均全队总伤害血量"": 1214, ""局均总前哨站净胜血量"": -919, ""局均总基地净胜血量"": -1749, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,15,沈阳理工大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/be475077-4807-4b5d-b452-f007b66de8f2,Ambition,0/0/2,0,1,-1750,-265,1873,"{""对手分"": 1, ""局均全队总伤害血量"": 1873, ""局均总前哨站净胜血量"": -265, ""局均总基地净胜血量"": -1750, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,498,东部赛区,B组,16,常州大学,https://terra-cn-oss-cdn-public-pro.oss-cn-hangzhou.aliyuncs.com/b2a076471c6c4b72b574a977334d3e05/e8a579bb-264e-4eee-88b7-ccc1a64b4729,Climber,0/0/2,0,-1,-540,0,2830,"{""对手分"": -1, ""局均全队总伤害血量"": 2830, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": -540, ""积分"": 0, ""胜/平/负"": ""0/0/2""}",
2024,2024RMUC,RMUC,499,中部赛区,A组,1,南昌大学,https://pro-robomasters-hz-n5i3.oss-cn-hangzhou.aliyuncs.com/teams/1525699199414-logo_blue_800x800.png,Passion,3/0/0,3,-2,967,0,6135,"{""对手分"": -2, ""局均全队总伤害血量"": 6135, ""局均总前哨站净胜血量"": 0, ""局均总基地净胜血量"": 967, ""积分"": 3, ""胜/平/负"": ""3/0/0""}",
