season,event_code,league,zone_name,group_name,group_order,college_name,team_name,rank,w_d_l,points,opponent_points,avg_base_hp_diff,avg_outpost_hp_diff,avg_team_damage
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,A组,8,广州城市理工学院,野狼,,0/0/2,0,-1,-1300,-29,3828
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,1,齐鲁工业大学,Adam,,3/0/0,3,0,255,-79,4990
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,3,上海工程技术大学,木鸢Birdiebot,,2/0/1,2,3,507,0,5968
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,4,中国科学技术大学,RoboWalker,,2/0/1,2,-3,460,0,5645
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,5,大连理工大学,凌BUG,,1/0/2,1,-2,-30,3,5395
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,6,南京理工大学,Alliance,,1/0/2,1,-2,-1147,0,4661
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,7,国防科技大学,军临,,0/0/2,0,6,28,93,5258
2024,2024RMUC,RMUC,港澳台及海外赛区&复活赛第一赛段,B组,8,东莞理工学院,ACE,,0/0/2,0,-2,-1085,0,4241
2024,2024RMUC,RMUC,复活赛第二赛段,C组,1,上海工程技术大学,木鸢Birdiebot,,3/0/0,3,-3,2516,0,9076
2024,2024RMUC,RMUC,复活赛第二赛段,C组,3,华北科技学院,风暴,,2/0/1,2,-3,2214,71,7153
2024,2024RMUC,RMUC,复活赛第二赛段,C组,4,香港科技大学,ENTERPRIZE,,2/0/1,2,-7,1430,0,7199
2024,2024RMUC,RMUC,复活赛第二赛段,C组,5,中国科学技术大学,RoboWalker,,1/0/2,1,9,-928,0,5792
2024,2024RMUC,RMUC,复活赛第二赛段,C组,7,天津大学,北洋机甲,,0/0/2,0,8,-3172,0,5243
2024,2024RMUC,RMUC,复活赛第二赛段,C组,8,香港大学,HerKules,,0/0/2,0,-1,-3835,-183,3038
2024,2024RMUC,RMUC,全国赛,A组,1,中国石油大学（华东）,RPS,,3/0/0,3,1,3316,0,8699
2024,2024RMUC,RMUC,全国赛,A组,2,西安交通大学,笃行,,3/0/0,3,-1,4161,135,9730
2024,2024RMUC,RMUC,全国赛,A组,3,浙江大学,Hello World,,3/0/1,3,7,437,0,7512
2024,2024RMUC,RMUC,全国赛,A组,4,桂林电子科技大学,Evolution,,3/0/1,3,1,1580,94,8119
2024,2024RMUC,RMUC,全国赛,A组,5,华南农业大学,Taurus,,3/0/1,3,0,563,30,6674
2024,2024RMUC,RMUC,全国赛,A组,6,北京理工大学,追梦,,3/0/2,3,7,-213,-101,6465
2024,2024RMUC,RMUC,全国赛,A组,7,东南大学,3SE,,3/0/2,3,1,144,0,6762
2024,2024RMUC,RMUC,全国赛,A组,9,南方科技大学,ARTINX,,2/0/3,2,7,-855,-75,6298
2024,2024RMUC,RMUC,全国赛,A组,10,电子科技大学中山学院,RoboBraver,,2/0/3,2,2,-745,0,6023
2024,2024RMUC,RMUC,全国赛,A组,11,桂林信息科技学院,GIRT,,2/0/3,2,-4,-1868,14,4970
2024,2024RMUC,RMUC,全国赛,A组,12,哈尔滨工业大学,I Hiter,,1/0/3,1,5,-767,-13,5829
2024,2024RMUC,RMUC,全国赛,A组,13,上海工程技术大学,木鸢Birdiebot,,1/0/3,1,-4,-1601,0,6430
2024,2024RMUC,RMUC,全国赛,A组,14,西安电子科技大学,IRobot,,1/0/3,1,-6,-968,0,6330
2024,2024RMUC,RMUC,全国赛,A组,15,哈尔滨工业大学（深圳）,南工骁鹰,,0/0/3,0,-2,-1310,0,6171
2024,2024RMUC,RMUC,全国赛,A组,16,哈尔滨工业大学（威海）,HERO,,0/0/3,0,-3,-1515,-30,4971
2024,2024RMUC,RMUC,全国赛,B组,1,上海交通大学,交龙,,3/0/0,3,1,3140,158,8385
2024,2024RMUC,RMUC,全国赛,B组,2,华南理工大学,华南虎,,3/0/0,3,-3,3684,0,10169
2024,2024RMUC,RMUC,全国赛,B组,3,太原理工大学,TRoMaC,,3/0/1,3,1,735,11,6683
2024,2024RMUC,RMUC,全国赛,B组,4,深圳大学,RobotPilots,,3/0/1,3,-4,2150,251,8476
2024,2024RMUC,RMUC,全国赛,B组,5,太原工业学院,火线,,3/0/1,3,-10,1886,86,8150
2024,2024RMUC,RMUC,全国赛,B组,6,东北大学,TDT,,3/0/2,3,6,1310,130,7489
2024,2024RMUC,RMUC,全国赛,B组,7,广东工业大学,DynamicX,,3/0/2,3,2,730,0,8101
2024,2024RMUC,RMUC,全国赛,B组,8,南昌大学,Passion,,3/0/2,3,-9,316,0,7340
2024,2024RMUC,RMUC,全国赛,B组,9,首都师范大学,PIE,,2/0/3,2,13,-1261,0,5592
2024,2024RMUC,RMUC,全国赛,B组,10,中南大学,FYT,,2/0/3,2,6,36,-8,6566
2024,2024RMUC,RMUC,全国赛,B组,11,吉林大学,TARS_Go,,2/0/3,2,-2,-641,79,5297
2024,2024RMUC,RMUC,全国赛,B组,12,齐鲁工业大学,Adam,,1/0/3,1,6,-2984,-577,3218
2024,2024RMUC,RMUC,全国赛,B组,13,华中科技大学,狼牙,,1/0/3,1,1,-1223,243,5340
2024,2024RMUC,RMUC,全国赛,B组,14,五邑大学,IMCA,,1/0/3,1,-14,-2159,-425,3020
2024,2024RMUC,RMUC,全国赛,B组,16,太原科技大学,NewMaker,,0/0/3,0,-6,-2727,0,3674
