season,event_code,league,zone_name,team_id,team_name,college_name,robot_type,robot_number,eaSmallHitRate,eagHurt,eaKDA,eagKdaScore,matchLargeEnergyActRoundsAvg,gkDamage,gKillCount,eaBigHitRate,eaSnipeCnt,etDartOutpostCnt,etDartFixedCnt,etDartRDFixCnt,etDartRDMoveCnt,eaRadarMarkerTime,eaRadarDebuffDmg,eaExchangeEcon,avgMineTime,avgMineDiff,avgShootNum
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Dart,10,0.0,0.0,0.058823529411764705/0.0/0.0,0.1,,70.6,0.1,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,164,风暴,华北科技学院,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,540.5,190.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Infantry,3,17.8,397.9,0.5/1.6/0.6,0.8,0.0,16.9,0.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Hero,1,23.7,0.0,0.0/2.0/0.0,0.0,,1043.1,0.0,23.7,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Sapper,2,0.0,0.0,0.0/0.25/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,314.13,35.0,2.3,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Airplane,6,2.6,102.5,0.0/0.25/0.25,0.1,,75.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,205
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Guard,7,0.8,17.5,0.0/0.0/0.125,0.1,,1.3,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,187.5,0.0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,178,群星,桂林理工大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,36.3,7.9,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Infantry,3,20.1,487.1,1.1/1.7/0.8,1.3,0.0,2.0,1.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Hero,1,16.4,0.0,0.0/2.6363636363636362/0.09090909090909091,0.1,,1375.9,0.0,16.4,0.7,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Sapper,2,0.0,0.0,0.0/1.3636363636363635/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,734.0,15.7,2.5,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Airplane,6,6.6,592.7,0.8181818181818182/0.0/0.8181818181818182,1.6,,247.7,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,933
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Guard,7,8.2,313.6,0.36363636363636365/1.5454545454545454/0.6363636363636364,0.7,,113.6,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,18,奇点,仲恺农业工程学院,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,701.7,180.1,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Infantry,3,19.2,337.5,0.2/0.9/0.4,0.4,0.0,38.7,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Hero,1,27.0,0.0,0.3/1.3/0.1,0.2,,1181.9,0.3,27.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Sapper,2,0.0,0.0,0.0/0.7/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,379.5,52.0,3.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Airplane,6,11.6,504.6,0.0/0.1/0.6,0.6,,371.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,425
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Guard,7,12.1,123.5,0.1/0.1/0.3,0.3,,0.0,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,437.5,0.0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,1513,野狼,广州城市理工学院,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,594.5,85.2,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Infantry,3,31.2,873.2,2.3/1.5/2.5,3.4,19.0,8.3,2.6,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Hero,1,42.0,0.0,0.4166666666666667/0.25/0.08333333333333333,0.3,,5188.5,0.4,42.0,9.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Sapper,2,0.0,0.0,0.0/0.4166666666666667/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,940.58,11.6,3.3,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Airplane,6,4.7,465.4,0.8333333333333334/0.16666666666666666/0.75,1.6,,91.3,0.8,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,372
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Guard,7,4.4,80.2,0.25/0.3333333333333333/0.08333333333333333,0.3,,0.0,0.3,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,76,RPS,中国石油大学（华东）,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,860.9,284.4,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Infantry,3,24.0,536.7,1.2/1.3/0.7,1.4,0.0,8.3,1.9,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Hero,1,12.3,0.0,0.0/0.4444444444444444/0.0,0.0,,727.8,0.0,12.3,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Sapper,2,0.0,0.0,0.0/0.1111111111111111/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,450.56,42.2,2.7,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Airplane,6,1.2,41.8,0.1111111111111111/0.0/0.1111111111111111,0.2,,8.9,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,81
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Guard,7,21.1,558.2,0.2222222222222222/0.3333333333333333/0.3333333333333333,0.6,,468.9,0.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,333.3,0.0,0,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,2758,PnX,香港科技大学（广州）,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,636.0,93.3,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Infantry,3,19.9,308.2,0.7/1.8/0.3,0.4,0.0,50.8,1.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Hero,1,20.0,0.0,0.16666666666666666/1.1666666666666667/0.0,0.0,,1011.7,0.2,20.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Sapper,2,0.0,0.0,0.0/0.16666666666666666/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,461.17,42.2,2.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Airplane,6,3.3,64.2,0.0/0.0/0.0,0.0,,9.2,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,350
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Guard,7,0.4,5.0,0.0/0.5/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,144,Horizon,华北理工大学,Radar,11,0.0,0.0,0.0/0.0/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,23.8,0.8,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Infantry,3,19.8,427.5,1.3/1.4/0.6,1.3,0.0,18.7,1.5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Hero,1,48.3,0.0,0.0/1.0588235294117647/0.11764705882352941,0.1,,4551.4,0.0,48.3,8.5,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Sapper,2,0.0,0.0,0.0/0.23529411764705882/0.0,0.0,,0.0,0.0,0,0,0,0,0,0,0.0,0.0,468.82,20.1,3.0,0.0
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Airplane,6,2.2,250.4,0.35294117647058826/0.058823529411764705/0.8235294117647058,1.2,,9.0,0.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,756
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Guard,7,9.5,93.4,0.11764705882352941/0.47058823529411764/0.23529411764705882,0.4,,40.6,0.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
2025,2025RMUC,RMUC,南部赛区,96,IMCA,五邑大学,Dart,10,0.0,0.0,0.0/0.0/0.0,0.0,,210.0,0.0,0,0,0,7,0,0,0.0,0.0,0.0,0.0,0.0,0.0
