team_key,school_key,college_name,team_name,shape_rank,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score
西南交通大学::Helios,西南交通大学,西南交通大学,Helios,84,东部赛区,东部赛区,18,unseeded,1884,57,8.665
中国矿业大学::CUBOT,中国矿业大学,中国矿业大学,CUBOT,85,东部赛区,东部赛区,8,tier1,1884,30,13.6
香港大学::HerKules,香港大学,香港大学,HerKules,86,北部赛区,北部赛区,26,unseeded,1884,88,7.275
厦门理工学院::PFA,厦门理工学院,厦门理工学院,PFA,87,南部赛区,南部赛区,31,unseeded,1884,190,4.0
福建师范大学::PKA,福建师范大学,福建师范大学,PKA,88,东部赛区,东部赛区,25,unseeded,1884,85,7.375
华南师范大学（佛山校区）::VANGUARD,华南师范大学（佛山校区）,华南师范大学（佛山校区）,VANGUARD,89,南部赛区,南部赛区,29,unseeded,1884,182,4.175
重庆理工大学::士继DREAMER,重庆理工大学,重庆理工大学,士继DREAMER,90,北部赛区,南部赛区,26,unseeded,1884,128,5.25
北京理工大学珠海学院::毅恒,北京理工大学珠海学院,北京理工大学珠海学院,毅恒,91,东部赛区,东部赛区,13,tier2,1884,40,12.055
常州大学::Climber,常州大学,常州大学,Climber,92,北部赛区,北部赛区,27,unseeded,1884,99,6.225
北京信息科技大学::星辰,北京信息科技大学,北京信息科技大学,星辰,93,北部赛区,北部赛区,21,unseeded,1884,74,8.07
南方科技大学::ARTINX,南方科技大学,南方科技大学,ARTINX,94,东部赛区,东部赛区,3,tier1,1884,12,18.4
武汉大学::珞珈狐,武汉大学,武汉大学,珞珈狐,95,南部赛区,南部赛区,30,unseeded,1884,185,4.13
福建理工大学::苍侠,福建理工大学,福建理工大学,苍侠,96,东部赛区,东部赛区,21,unseeded,1884,65,8.415
