rank,college_name,english_name,score
174,陕西科技大学,Shaanxi University of Science and Technology,4.25
174,沈阳工学院,Shenyang Institute of Technology,4.25
174,枣庄学院,Zaozhuang University,4.25
174,珠海科技学院,Zhuhai College of Science and Technology,4.25
181,大连交通大学,Dalian Jiaotong University,4.2
182,黑河学院,Heihe University,4.175
182,华南师范大学（佛山校区）,South China Normal University Foshan Campus,4.175
182,南京工业大学,Nanjing Tech University,4.175
185,武汉大学,Wuhan University,4.13
186,重庆第二师范学院,Chongqing University of Education,4.1
187,福州大学,Fuzhou University,4.025
187,惠州学院,Huizhou University,4.025
187,沈阳化工大学,Shenyang University of Chemical Technology,4.025
190,厦门理工学院,Xiamen University of Technology,4.0
191,上海大学,Shanghai University,3.975
192,昆明理工大学津桥学院,"Kunming University of Science and Technology, Jinqiao College",3.949
193,厦门大学,Xiamen University,3.9
194,北京交通大学,Beijing Jiaotong University,3.8
194,北师香港浸会大学,Beijing Normal–Hong Kong Baptist University,3.8
194,长江大学,Yangtze University,3.8
194,黑龙江大学,Heilongjiang University,3.8
194,集美大学诚毅学院,"Chengyi College, Jimei University",3.8
194,香港中文大学（深圳）,The Chinese University of Hong Kong (Shenzhen),3.8
200,安徽大学,Anhui University,3.775
200,北京航空航天大学,Beijing University of Aeronautics and Astronautics,3.775
200,长春理工大学,Changchun University of Science and Technology,3.775
200,浙大城市学院,Hangzhou City University,3.775
204,伊利诺伊大学厄巴纳香槟分校,University of Illinois Urbana-Champaign,3.75
205,广东海洋大学,Guangdong Ocean University,3.65
205,湖北第二师范学院,Hubei University of Education,3.65
205,华东交通大学,East China Jiaotong University,3.65
205,盐城师范学院,Yancheng Teachers University,3.65
209,呼伦贝尔学院,Hulunbuir University,3.55
209,苏州大学应用技术学院,Applied Technology College of Soochow University,3.55
209,潍坊科技学院,Weifang Institute of Technology,3.55
209,浙江工业大学,Zhejiang University of Technology,3.55
213,长春工业大学,Changchun University of Technology,3.4
213,广东轻工职业技术大学,Guangdong Industry Polytechnic University,3.4
213,广州工商学院,Guangzhou College of Technology and Business,3.4
213,山西机电职业技术学院,Shanxi Institute of Mechanical and Electrical Engineering,3.4
213,西安科技大学,Xi'an University of Science and Technology,3.4
213,西南大学,Southwest University,3.4
