team_key,school_key,college_name,team_name,preferred_region,admitted_region,seed_rank_in_region,seed_tier,ranking_source,ranking_global_rank,ranking_score,shape_rank,program_base_theta,prior_delta_theta,regional_pre_theta,regional_pre_rating,pre_signal_sd_theta,pre_signal_sd_rating,rmuc_history_strength,beta_perf,mu0,sigma0
华北理工大学::Horizon,华北理工大学,华北理工大学,Horizon,北部赛区,北部赛区,25,unseeded,1884,84,7.6,29,-0.914950815975939,-0.1540562834505633,-1.0690070994265022,1355.6840415774222,0.2919926764169434,39.41901131628735,0.5536283325360347,1.8179707527160645,1355.6840415774222,39.41901131628735
香港大学::HerKules,香港大学,香港大学,HerKules,北部赛区,北部赛区,26,unseeded,1884,88,7.275,86,-0.04307115450501442,-0.6263468305370251,-0.6694179850420395,1409.6285720193246,0.3649908455211792,49.273764145359195,0.12778256889212314,1.8179707527160645,1409.6285720193246,49.273764145359195
常州大学::Climber,常州大学,常州大学,Climber,北部赛区,北部赛区,27,unseeded,1884,99,6.225,92,-0.14077556133270264,-0.8934812396638612,-1.0342568009965638,1360.375331865464,0.2919926764169434,39.41901131628735,0.11709523899444946,1.8179707527160645,1360.375331865464,39.41901131628735
华南师范大学::PIONEER,华南师范大学,华南师范大学,PIONEER,北部赛区,北部赛区,28,unseeded,1884,114,5.6,81,-0.02652798406779766,-0.48958301264973475,-0.5161109967175324,1430.3250154431332,0.3649908455211792,49.273764145359195,0.12066988685416036,1.8179707527160645,1430.3250154431332,49.273764145359195
内蒙古科技大学::雷霆,内蒙古科技大学,内蒙古科技大学,雷霆,北部赛区,北部赛区,29,unseeded,1884,118,5.575,80,-0.10896773636341095,-0.7008117555587154,-0.8097794919221264,1390.679768590513,0.2919926764169434,39.41901131628735,0.11674123689685802,1.8179707527160645,1390.679768590513,39.41901131628735
香港科技大学（广州）::PnX,香港科技大学（广州）,香港科技大学（广州）,PnX,北部赛区,北部赛区,30,unseeded,1884,120,5.425,44,-0.26181185245513916,0.0635915824414673,-0.19822027001367187,1473.2402635481542,0.3649908455211792,49.273764145359195,0.6165662094771409,1.8179707527160645,1473.2402635481542,49.273764145359195
辽宁石油化工大学::TCN,辽宁石油化工大学,辽宁石油化工大学,TCN,北部赛区,北部赛区,31,unseeded,1884,134,5.025,82,-0.17957650125026703,-0.7417454211853737,-0.9213219224356407,1375.6215404711886,0.2919926764169434,39.41901131628735,0.17841150010388906,1.8179707527160645,1375.6215404711886,39.41901131628735
复旦大学::星云EGA,复旦大学,复旦大学,星云EGA,北部赛区,北部赛区,32,unseeded,1884,220,3.125,49,-0.035400208085775375,-0.37856322505286755,-0.4139634331386429,1444.1149365262831,0.2919926764169434,39.41901131628735,0.18030672638562717,1.8179707527160645,1444.1149365262831,39.41901131628735
上海交通大学::交龙,上海交通大学,上海交通大学,交龙,南部赛区,南部赛区,1,tier1,1884,1,25.0,46,2.9175294339778945,0.1988512315635591,3.1163806655414534,1920.7113898480961,0.2919926764169434,39.41901131628735,0.8802764740993422,1.8179707527160645,1920.7113898480961,39.41901131628735
华南理工大学::华南虎,华南理工大学,华南理工大学,华南虎,南部赛区,南部赛区,2,tier1,1884,2,23.3,12,2.0877270016316167,0.1094696635658145,2.1971966651974313,1796.6215498016531,0.2919926764169434,39.41901131628735,0.888403058773941,1.8179707527160645,1796.6215498016531,39.41901131628735
华南农业大学::Taurus,华南农业大学,华南农业大学,Taurus,南部赛区,南部赛区,3,tier1,1884,5,20.1,3,2.155220458112437,0.32892463239337194,2.484145090505809,1835.359587218284,0.2919926764169434,39.41901131628735,0.8932940496649591,1.8179707527160645,1835.359587218284,39.41901131628735
广东工业大学::DynamicX,广东工业大学,广东工业大学,DynamicX,南部赛区,南部赛区,4,tier1,1884,6,20.0,36,1.8961173249689292,-0.11461625891744372,1.7815010660514854,1740.5026439169505,0.2919926764169434,39.41901131628735,0.8724075403100819,1.8179707527160645,1740.5026439169505,39.41901131628735
深圳大学::RobotPilots,深圳大学,深圳大学,RobotPilots,南部赛区,南部赛区,5,tier1,1884,6,20.0,25,1.7803646238407302,-0.0825871531042428,1.6977774707364874,1729.199958549426,0.2919926764169434,39.41901131628735,0.8778307269320895,1.8179707527160645,1729.199958549426,39.41901131628735
太原理工大学::TRoMaC,太原理工大学,太原理工大学,TRoMaC,南部赛区,南部赛区,6,tier1,1884,13,18.04,30,1.86621818838967,0.07252438258465925,1.9387425709743293,1761.7302470815343,0.2919926764169434,39.41901131628735,0.8733568290013812,1.8179707527160645,1761.7302470815343,39.41901131628735
五邑大学::IMCA,五邑大学,五邑大学,IMCA,南部赛区,南部赛区,7,tier1,1884,17,17.0,4,1.2785635833524065,0.12311518495624364,1.4016787683086502,1689.226633721668,0.2919926764169434,39.41901131628735,0.8903615249223108,1.8179707527160645,1689.226633721668,39.41901131628735
电子科技大学中山学院::RoboBraver,电子科技大学中山学院,电子科技大学中山学院,RoboBraver,南部赛区,南部赛区,8,tier1,1884,20,16.64,37,1.2152379687841606,-0.11343945682722806,1.1017985119569325,1648.7427991141858,0.2919926764169434,39.41901131628735,0.8868031817109477,1.8179707527160645,1648.7427991141858,39.41901131628735
南昌大学::Passion,南昌大学,南昌大学,Passion,东部赛区,南部赛区,9,tier2,1884,21,15.7,62,1.2548589897683786,-0.07656628783352455,1.1782927019348541,1659.0695147612053,0.2919926764169434,39.41901131628735,0.8680794155130984,1.8179707527160645,1659.0695147612053,39.41901131628735
中南大学::FYT,中南大学,中南大学,FYT,南部赛区,南部赛区,10,tier2,1884,22,15.5,21,1.1962956833050435,0.2374476707218993,1.4337433540269429,1693.5553527936372,0.2919926764169434,39.41901131628735,0.8832082906010167,1.8179707527160645,1693.5553527936372,39.41901131628735
桂林电子科技大学::Evolution,桂林电子科技大学,桂林电子科技大学,Evolution,南部赛区,南部赛区,11,tier2,1884,28,14.365,32,0.17467643163526198,-0.11098656835835614,0.06368986327690583,1508.5981315423824,0.2919926764169434,39.41901131628735,0.6357490300526475,1.8179707527160645,1508.5981315423824,39.41901131628735
武汉工程大学::Nautilus,武汉工程大学,武汉工程大学,Nautilus,东部赛区,南部赛区,12,tier2,1884,29,14.3,14,1.9163506379880397,0.3396760082444041,2.256026646232444,1804.56359724138,0.2919926764169434,39.41901131628735,0.9228777249674829,1.8179707527160645,1804.56359724138,39.41901131628735
