season,event_code,league,zone_name,stage_bucket,group_name,match_id,match_type,order_number,plan_game_count,plan_started_at,match_date,result,red_team_id,red_team_name,red_college_name,red_side_score,red_side_win_game_count,blue_team_id,blue_team_name,blue_college_name,blue_side_score,blue_side_win_game_count,winner_team_id,winner_team_name,winner_college_name,winner_side
2026,2026RMUL,RMUL,山东站,knockout,,29482,KNOCKOUT,42,3,2026-03-22T00:35:00Z,2026-03-22,BLUE,57,SmartRobot,山东科技大学,0,0,76,RPS,中国石油大学（华东）,0,2,76,RPS,中国石油大学（华东）,blue
2026,2026RMUL,RMUL,山东站,knockout,,29486,KNOCKOUT,46,3,2026-03-22T02:25:00Z,2026-03-22,RED,132,追梦,北京理工大学,0,2,672,PIE,首都师范大学,0,0,132,追梦,北京理工大学,red
2026,2026RMUL,RMUL,山东站,knockout,,29487,KNOCKOUT,47,3,2026-03-22T02:50:00Z,2026-03-22,BLUE,114,TRoMaC,太原理工大学,0,0,76,RPS,中国石油大学（华东）,0,2,76,RPS,中国石油大学（华东）,blue
2026,2026RMUL,RMUL,山东站,knockout,,29489,KNOCKOUT,49,3,2026-03-22T04:40:00Z,2026-03-22,BLUE,160,Actor&Thinker,河北科技大学,0,0,132,追梦,北京理工大学,0,2,132,追梦,北京理工大学,blue
2026,2026RMUL,RMUL,山东站,knockout,,29490,KNOCKOUT,50,3,2026-03-22T05:05:00Z,2026-03-22,RED,76,RPS,中国石油大学（华东）,0,2,41,HERO,哈尔滨工业大学（威海）,0,0,76,RPS,中国石油大学（华东）,red
2026,2026RMUL,RMUL,山东站,knockout,,29491,KNOCKOUT,51,3,2026-03-22T06:30:00Z,2026-03-22,BLUE,160,Actor&Thinker,河北科技大学,0,0,41,HERO,哈尔滨工业大学（威海）,0,2,41,HERO,哈尔滨工业大学（威海）,blue
2026,2026RMUL,RMUL,山东站,knockout,,29492,KNOCKOUT,52,3,2026-03-22T06:55:00Z,2026-03-22,BLUE,132,追梦,北京理工大学,0,0,76,RPS,中国石油大学（华东）,0,2,76,RPS,中国石油大学（华东）,blue
2026,2026RMUL,RMUL,重庆站,group,A,29215,GROUP,9,2,2026-03-27T10:40:00Z,2026-03-27,BLUE,2789,士继DREAMER,重庆理工大学,0,0,2195,ROBOTZ,广西大学,3,2,2195,ROBOTZ,广西大学,blue
2026,2026RMUL,RMUL,重庆站,group,A,29223,GROUP,17,2,2026-03-28T00:00:00Z,2026-03-28,BLUE,2195,ROBOTZ,广西大学,0,0,116,WMJ,西北工业大学,3,2,116,WMJ,西北工业大学,blue
2026,2026RMUL,RMUL,重庆站,group,A,29239,GROUP,33,2,2026-03-28T07:20:00Z,2026-03-28,RED,116,WMJ,西北工业大学,3,2,2789,士继DREAMER,重庆理工大学,0,0,116,WMJ,西北工业大学,red
2026,2026RMUL,RMUL,重庆站,group,B,29240,GROUP,34,2,2026-03-28T07:40:00Z,2026-03-28,RED,781,军临,国防科技大学,3,2,1527,云嵌,长沙理工大学,0,0,781,军临,国防科技大学,red
2026,2026RMUL,RMUL,重庆站,group,F,29244,GROUP,38,2,2026-03-28T09:00:00Z,2026-03-28,RED,698,笃行,西安交通大学,3,2,2189,逐曦,湘潭大学,0,0,698,笃行,西安交通大学,red
2026,2026RMUL,RMUL,重庆站,knockout,,29950,KNOCKOUT,49,3,2026-03-29T00:10:00Z,2026-03-29,RED,116,WMJ,西北工业大学,0,2,1527,云嵌,长沙理工大学,0,0,116,WMJ,西北工业大学,red
2026,2026RMUL,RMUL,重庆站,knockout,,29953,KNOCKOUT,52,3,2026-03-29T01:25:00Z,2026-03-29,RED,2188,GIRT,桂林信息科技学院,0,2,38,Evolution,桂林电子科技大学,0,1,2188,GIRT,桂林信息科技学院,red
2026,2026RMUL,RMUL,重庆站,knockout,,29954,KNOCKOUT,53,3,2026-03-29T01:50:00Z,2026-03-29,RED,781,军临,国防科技大学,0,2,2195,ROBOTZ,广西大学,0,0,781,军临,国防科技大学,red
2026,2026RMUL,RMUL,重庆站,knockout,,29958,KNOCKOUT,57,3,2026-03-29T04:30:00Z,2026-03-29,RED,116,WMJ,西北工业大学,0,2,700,VGD,长安大学,0,0,116,WMJ,西北工业大学,red
2026,2026RMUL,RMUL,重庆站,knockout,,29959,KNOCKOUT,58,3,2026-03-29T04:55:00Z,2026-03-29,RED,71,IRobot,西安电子科技大学,0,2,2188,GIRT,桂林信息科技学院,0,0,71,IRobot,西安电子科技大学,red
